time,gps_fix,lora_ok,lat,lon,alt_m,speed_ms,temp_c,pressure_pa,pitch,roll,yaw,ax,ay,az,gx,gy,gz
17:36:15,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101292.5,-3.81,-2.48,0,0.04614258,-0.07080078,1.062744,-1.694656,3.389313,0.3587786
17:36:15,1,0,N22.17588,E113.07317,10.2,0.0,30.8,101290.3,-5.46,-2.22,0,0.04077148,-0.1003418,1.048828,1.687023,1.709924,-0.389313
17:36:16,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101290.7,-5.31,-2.14,0,0.03735352,-0.0925293,0.9956055,1.19084,1.312977,0.129771
17:36:16,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101290.7,-5.07,-2.33,0,0.04321289,-0.09399414,1.059082,-3.099237,5.435114,3.145038
17:36:16,1,0,N22.17588,E113.07317,9.9,0.0,30.8,101292.1,-4.53,-2.42,0,0.04370117,-0.08178711,1.032471,1.687023,2.022901,-0.04580153
17:36:17,1,0,N22.17588,E113.07317,9.7,0.0,30.8,101294.1,-3.66,-2.72,0,0.05078125,-0.06835938,1.067383,-1.717557,3.206107,0.2061069
17:36:17,1,0,N22.17588,E113.07317,9.8,0.0,30.8,101293.7,-3.61,-2.70,0,0.05053711,-0.06762695,1.071289,-1.984733,3.366412,0.3282443
17:36:17,1,0,N22.17588,E113.07317,10.1,0.0,30.8,101290.3,-3.77,-2.61,0,0.04858398,-0.07006836,1.062988,-1.748092,3.374046,0.3740458
17:36:18,1,0,N22.17588,E113.07317,10.1,0.0,30.8,101289.9,-3.78,-2.28,0,0.04272461,-0.07080078,1.070313,-1.793893,3.229008,0.3206107
17:36:18,1,0,N22.17588,E113.07317,10.1,0.0,30.8,101289.5,-3.60,-2.63,0,0.04907227,-0.06713867,1.06665,-1.70229,3.229008,0.1145038
17:36:18,1,0,N22.17588,E113.07317,9.9,0.0,30.8,101291.8,-3.74,-2.52,0,0.046875,-0.06958008,1.063232,-1.80916,3.030534,0.4580153
17:36:18,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101291.2,-3.79,-2.73,0,0.05102539,-0.07080078,1.069092,-1.89313,2.923664,0.2290076
17:36:18,1,0,N22.17588,E113.07317,9.8,0.0,30.8,101293.4,-3.65,-2.55,0,0.04760742,-0.06811523,1.06665,-1.770992,3.419847,0.4503817
17:36:19,1,0,N22.17588,E113.07317,9.8,0.0,30.8,101292.9,-3.64,-2.63,0,0.04907227,-0.06787109,1.06543,-2.038168,3.40458,0.3129771
17:36:19,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101291.6,-3.84,-2.47,0,0.04614258,-0.0715332,1.065674,-1.70229,3.290076,0.3053435
17:36:19,1,0,N22.17588,E113.07317,10.1,0.0,30.8,101289.9,-3.77,-2.37,0,0.04418945,-0.0703125,1.065918,-1.763359,3.374046,0.3435115
17:36:19,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101290.9,-3.86,-2.41,0,0.04492188,-0.07202148,1.066406,-1.854962,2.984733,0.5267176
17:36:20,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101290.9,-3.78,-2.55,0,0.04736328,-0.07006836,1.060791,-1.954198,3.312977,0.4122138
17:36:20,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101291.4,-3.83,-2.74,0,0.05102539,-0.07128906,1.063965,-1.931298,3.381679,0.2290076
17:36:20,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101291.4,-3.65,-2.48,0,0.04638672,-0.06811523,1.066895,-1.908397,3.282443,0.4198473
17:36:20,1,0,N22.17588,E113.07317,9.9,0.0,30.8,101291.8,-3.78,-2.51,0,0.04638672,-0.06982422,1.057373,-1.824428,3.305344,0.2061069
17:36:21,1,0,N22.17588,E113.07317,9.7,0.0,30.8,101294.3,-3.53,-2.27,0,0.04223633,-0.06567383,1.063232,-2.091603,3.335878,0.4122138
17:36:21,1,0,N22.17588,E113.07317,9.8,0.0,30.8,101293.7,-3.49,-2.44,0,0.04541016,-0.06494141,1.064209,-1.748092,3.10687,0.3435115
17:36:21,1,0,N22.17588,E113.07317,9.9,0.0,30.8,101292.1,-3.73,-2.61,0,0.04858398,-0.06933594,1.062988,-1.480916,3.519084,0.3969466
17:36:21,1,0,N22.17588,E113.07317,10.0,0.0,30.8,101290.5,-3.67,-2.52,0,0.04663086,-0.06787109,1.058105,-1.870229,3.091603,0.3206107
