time,gps_fix,lora_ok,lat,lon,alt_m,speed_ms,temp_c,pressure_pa,pitch,roll,yaw,ax,ay,az,gx,gy,gz
NO_TIME,0,0,--,--,0.0,0.0,28.0,101310.3,0.96,-0.49,0,0.009033203,0.01782227,1.062744,-1.89313,2.954198,0.2442748
NO_TIME,0,0,--,--,0.1,0.0,28.0,101308.8,0.82,-0.53,0,0.009765625,0.01513672,1.062988,-1.961832,3.267176,0.1755725
NO_TIME,0,0,--,--,0.0,0.0,28.0,101310.0,0.89,-0.56,0,0.01049805,0.01660156,1.072998,-1.854962,2.931298,0.09160305
NO_TIME,0,0,--,--,0.1,0.0,28.0,101309.5,0.75,-0.65,0,0.01196289,0.01391602,1.060547,-1.854962,3.122137,0.1068702
NO_TIME,0,0,--,--,0.0,0.0,28.0,101310.1,0.66,-0.71,0,0.01318359,0.01220703,1.063721,-2.007634,3.259542,0.3206107
NO_TIME,0,0,--,--,0.0,0.0,28.0,101310.0,0.70,-0.61,0,0.01123047,0.01293945,1.059814,-1.641221,2.954198,0.3664122
NO_TIME,0,0,--,--,0.0,0.0,28.0,101310.3,0.79,-0.63,0,0.01171875,0.01464844,1.063965,-1.748092,3.198473,0.05343511
NO_TIME,0,0,--,--,0.0,0.0,28.0,101309.7,0.80,-0.68,0,0.01269531,0.01489258,1.067871,-2.206107,3.236641,0.3435115
NO_TIME,0,0,--,--,-0.0,0.0,28.0,101310.5,0.80,-0.66,0,0.01220703,0.01489258,1.06543,-2.015267,3.160305,0.2290076
NO_TIME,0,0,--,--,0.0,0.0,28.0,101310.1,0.79,-0.47,0,0.008789063,0.01464844,1.062256,-1.984733,3.206107,0.3358779
NO_TIME,0,0,--,--,-0.1,0.0,28.0,101311.2,0.60,-0.59,0,0.01098633,0.01123047,1.064941,-1.80916,3.167939,0.3740458
NO_TIME,0,0,--,--,0.0,0.0,28.0,101309.8,0.76,-0.46,0,0.008544922,0.01416016,1.068115,-1.801527,3.221374,0.1984733
NO_TIME,0,0,--,--,0.1,0.0,28.0,101308.9,0.89,-0.64,0,0.01196289,0.01660156,1.068115,-1.961832,3.152672,0.3740458
NO_TIME,0,0,--,--,0.1,0.0,28.0,101308.9,0.77,-0.48,0,0.009033203,0.0144043,1.070068,-1.946565,3.145038,0.3053435
NO_TIME,0,0,--,--,-0.1,0.0,28.0,101311.2,0.98,-0.62,0,0.01147461,0.01831055,1.065186,-1.656489,3.251908,0.09160305
NO_TIME,0,0,--,--,-0.2,0.0,28.0,101312.1,0.67,-0.45,0,0.008300781,0.01245117,1.064209,-1.977099,3.366412,0.03816794
NO_TIME,0,0,--,--,-0.1,0.0,28.0,101311.3,0.90,-0.79,0,0.01464844,0.0168457,1.067383,-1.656489,3.061069,0.1679389
NO_TIME,0,0,--,--,-0.1,0.0,28.0,101311.1,0.74,-0.56,0,0.01049805,0.01367188,1.06543,-1.847328,3.465649,0.1374046
NO_TIME,0,0,--,--,0.0,0.0,28.0,101309.8,0.75,-0.55,0,0.01025391,0.01391602,1.067871,-1.847328,2.931298,0.2900764
NO_TIME,0,0,--,--,-0.0,0.0,28.0,101310.4,0.71,-0.63,0,0.01171875,0.01318359,1.06665,-2.0,3.396947,0.1755725
NO_TIME,0,0,--,--,-0.0,0.0,28.0,101310.4,0.67,-0.50,0,0.009277344,0.01245117,1.064941,-1.763359,3.48855,0.0610687
NO_TIME,0,0,--,--,-0.0,0.0,28.0,101310.8,0.73,-0.46,0,0.008544922,0.01367188,1.066406,-1.763359,3.145038,0.09923664
NO_TIME,0,0,--,--,0.0,0.0,28.0,101309.8,0.07,-0.81,0,0.01513672,0.001220703,1.067383,-1.748092,3.435115,0.2977099
NO_TIME,0,0,--,--,0.1,0.0,28.0,101308.9,0.79,-0.32,0,0.005859375,0.01464844,1.057861,-2.053435,3.236641,0.4274809
NO_TIME,0,0,--,--,0.0,0.0,28.0,101309.7,0.93,-0.59,0,0.01098633,0.01733398,1.062256,-2.038168,3.290076,0.3664122
NO_TIME,0,0,--,--,0.0,0.0,28.0,101309.7,0.49,-0.34,0,0.006347656,0.009033203,1.064697,-1.793893,3.267176,0.5572519
